Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Type,Accounting,Accounting Execution Ids,Notes       
"76","STO.AX","Santos Fpo [sto]",,"ASX","Aus Stocks","AUD","2000","6.7","0","2025-02-21 GMT+1100","15:09:00",,"Buy",,,
       
"77","NHC.AX","New Hope Fpo [nhc]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
"78","NHC.AX","New Hope Fpo [nhc]",,"ASX","Aus Stocks","AUD","5000","3.62","0","2025-04-03 GMT+1100","15:53:00",,"Buy",,,
"79","NHC.AX","New Hope Fpo [nhc]",,"ASX","Aus Stocks","AUD","20000","3.737","0","2025-06-27 GMT+1000","14:56:00",,"Buy",,,
       
"80","SHL.AX","Sonic Hlth Fpo [shl]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
"81","SHL.AX","Sonic Hlth Fpo [shl]",,"ASX","Aus Stocks","AUD","1000","25.75","0","2024-07-11 GMT+1000","14:40:00",,"Buy",,,
"82","SHL.AX","Sonic Hlth Fpo [shl]",,"ASX","Aus Stocks","AUD","1000","27.75","0","2024-08-22 GMT+1000","15:08:00",,"Buy",,,
"83","SHL.AX","Sonic Hlth Fpo [shl]",,"ASX","Aus Stocks","AUD","1000","27.3","0","2025-02-21 GMT+1100","15:10:00",,"Buy",,,
"84","SHL.AX","Sonic Hlth Fpo [shl]",,"ASX","Aus Stocks","AUD","1000","25.5","0","2025-03-13 GMT+1100","15:25:00",,"Buy",,,
"85","SHL.AX","Sonic Hlth Fpo [shl]",,"ASX","Aus Stocks","AUD","1000","25.5","0","2025-08-21 GMT+1000","14:41:00",,"Buy",,,
       
"86","GFL.AX","Gbl Master Fpo [gfl]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"87","FGX.AX","Future Aus Fpo [fgx]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"88","FGG.AX","Future Glb Fpo [fgg]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"89","NAB.AX","Nat. Bank Fpo [nab]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"90","QAN.AX","Qantas Fpo [qan]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"91","ANZ.AX","Anz Group Fpo [anz]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"92","CLW.AX","Chtr H Lwr Stapled [clw]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
"93","CLW.AX","Chtr H Lwr Stapled [clw]",,"ASX","Aus Stocks","AUD","20000","4.349","0","2020-06-28 GMT+1000","17:00:00","0","Buy",,,
"94","CLW.AX","Chtr H Lwr Stapled [clw]",,"ASX","Aus Stocks","AUD","6252","4.798","0","2020-10-16 GMT+1100","15:39:00",,"Buy",,,
"95","CLW.AX","Chtr H Lwr Stapled [clw]",,"ASX","Aus Stocks","AUD","3748","3.19","0","2023-10-11 GMT+1100","09:00:00",,"Buy",,,
"96","CLW.AX","Chtr H Lwr Stapled [clw]",,"ASX","Aus Stocks","AUD","3000","3.3","0","2023-11-10 GMT+1100","10:04:00",,"Buy",,,
       
"97","GMG.AX","Good Group Stapled [gmg]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"98","NDQ.AX","Betanasdaq Etf Units [ndq]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
       
"99","PLS.AX","Plsgroup Fpo [pls]",,"ASX","Aus Stocks","AUD",,,,,,,,,,
"100","PLS.AX","Plsgroup Fpo [pls]",,"ASX","Aus Stocks","AUD","5000","2.5","0","2024-09-05 GMT+1000","20:53:00",,"Buy",,,
